event_id,station,phi,dt,phi_error,dt_error,avg_snr,magnitude,event_lat,event_lon,event_depth,window_duration,quality,back_azimuth,rectilinearity,incidence
22,AXCC1,84.56272355044177,0.06,17.0,0.035,3.7834364522280386,0.0,45.9487,-129.9862,1.11,0.5,unknown,112.56272355044177,0.9674548088908411,21.990015515177518
41,AXCC1,2.1108292142762366,0.02,20.5,0.01,3.0170741520316082,0.0,45.9173,-129.984,0.01,0.5,unknown,156.11082921427624,0.7999457539241203,22.781181249043403
45,AXAS1,5.632551307703807,0.09,14.5,0.005,2.376653036586198,0.0,45.9435,-129.9823,1.34,0.5,unknown,70.6325513077038,0.9288510692568815,18.11267642571761
52,AXCC1,74.97618842576014,0.02,17.0,0.01,4.941379590418858,0.0,45.954,-129.9915,1.38,0.5,unknown,94.97618842576014,0.9819959016631882,11.783334184327535
121,AXCC1,50.77281414610212,0.03,13.0,0.005,2.8950807379846735,0.0,45.9515,-129.994,0.84,0.5,unknown,109.77281414610212,0.9790047368847549,14.009646871667718
147,AXCC1,-3.1576498808068436,0.07,52.5,0.02,2.654980458299466,0.0,45.9488,-129.9833,1.79,0.5,unknown,109.84235011919316,0.9950189419823161,6.610640119792572
149,AXCC1,-33.13473177284027,0.03,67.0,0.04,2.672998304933056,0.0,45.9425,-129.9893,1.08,0.5,unknown,133.86526822715973,0.9470610622861864,28.31805477555909
163,AXEC2,7.466791726508575,0.06,33.0,0.015,2.9608381719353094,0.0,45.9657,-129.9972,2.19,0.5,unknown,302.4667917265086,0.9802504007791817,28.519374112241703
173,AXCC1,43.796925121963056,0.03,15.5,0.005,2.8347414258728807,0.0,45.9683,-129.9942,2.32,0.5,unknown,35.796925121963056,0.8652248877283545,21.101452931567266
205,AXCC1,-72.13473994912073,0.05,28.5,0.03,2.767008794131893,0.0,45.9642,-129.9923,0.61,0.5,unknown,49.86526005087927,0.7963140713565569,27.627579862613565
